,Severe1,Severe2,Severe3,Severe4,Severe5,Severe6,Middle1,Middle2,Middle3,Middle4,Middle5,Middle6,Mild1,Mild2,Mild3,Mild4,Mild5,Mild6
ASV864,0,0,0,0,0,0,0,0,0.003300985,0,0,0,0,0,0,0,0,0
ASV127,0,0,0,0,0,0,0,0.000744583,0.000198556,0,0,0,0.00042193,0.000397111,0.000322653,0.00044675,0.000173736,0
ASV294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV132,0,0,0,0,0,0,0,0.000694944,0.000173736,0.000198556,0.000124097,0.000124097,0.000297833,0.000248194,0.000124097,0.000297833,0,0
ASV122,0,0,0,0,0,0,0,0,0,0.000521208,0.001116875,0,0,0.000471569,0,0.000670125,0.000148917,0
ASV252,0,0,0,0,0,0,0,0.001166514,0.000372292,0,0,0,0.000744583,0,0,0,0,0
ASV55,0,0,0,0,0.000173736,0,0,0,0.000546028,0,0,0,0,0,0.000347472,0,0.000347472,0
ASV471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002779777,0
ASV683,0,0,0,0,0,0,0,0.00044675,0.000471569,0,0,0.000570847,0,0,0,0,0,0.001191333
ASV129,0,0,0,0,0,0,9.93E-05,4.96E-05,7.45E-05,0.000397111,0.000273014,0,0.000297833,0.000322653,0.000297833,7.45E-05,0,0.000322653
ASV84,0,0,7.45E-05,4.96E-05,7.45E-05,0,0,0.000347472,7.45E-05,0,0,0,0.000223375,0.000297833,0,0.000148917,0,0.000148917
ASV134,0,0,0,0,0,0,0,0.000496389,0,0.000496389,0,0.000223375,0.000248194,0.000173736,0.000198556,0.000645305,0,0
ASV135,0,0,0,0,0,0,0,0.000347472,0.000124097,0.000248194,0.000248194,0,0.000347472,0.000223375,0.000198556,0,0,0
ASV258,0,0,0,0,0,0,0,0.000546028,0,0.000124097,7.45E-05,9.93E-05,0.000248194,0,0.000322653,0.000223375,0,7.45E-05
ASV137,0,0,0,0,0,0,4.96E-05,0.000645305,2.48E-05,0.000173736,0,0,0,0.000173736,0.000173736,0.000198556,0,0.000198556
ASV186,0,0,0.000943139,0,0,0.001439527,0,0,0,0,0,0,0,0,0,0,0,0
ASV647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002084833,0,0
ASV124,0.000248194,0,0,0,0,0,0,0,0,0.001042416,0,0,0,0.000570847,0,0,0,0
ASV680,0,0,0,0,0,0,0,0.002357847,0,0,0,0,0,0,0,0,0,0
ASV255,0,0,0,0,0,0,0.000248194,0.000794222,0,0.000248194,0,0,0.00042193,0,0,0.000223375,0.000273014,0
ASV131,0.000124097,4.96E-05,0,0,0,0,4.96E-05,0.000124097,4.96E-05,0.000148917,0,0,0.000819041,0.000198556,0.000124097,0,0,0.000173736
ASV472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001886277,0
ASV66,9.93E-05,0,7.45E-05,0,9.93E-05,0,0,0.000273014,0.000273014,0.000198556,0,0,0.000148917,0.000124097,0.000124097,0.000198556,0,0
ASV369,0,0,0,0,0,0,0,0.001042416,0,0,0,0.000397111,0,0,0,0,0,0
ASV877,0,0,0,0,0,0,0,0,0.000198556,0,0,0,0,0,0,0,0,0
ASV473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001960736,0
ASV141,0,0,0,0,0,0,0,0.00042193,0,0,0,0,0,0.000124097,0.000595667,0.000347472,0,0
ASV1341,0,0,0,0,0,0,0,0,0,0,0.002258569,0,0,0,0,0,0,0
ASV474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001712541,0
ASV295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001787,0
ASV1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1010,0,0,0,0,0,0,0,0,0,0.001563625,0,0,0,0,0,0,0,0
ASV296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
